account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,current_plan_tier,current_seats,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,latest_sub_churn_flag,start_date,total_usage_count,avg_usage_count,total_usage_duration_secs,avg_usage_duration_secs,total_error_count,n_usage_events,n_features_used,beta_usage_events,n_tickets,avg_resolution_hours,avg_first_response_min,avg_satisfaction,n_escalations,status,usage_segment,mrr_segment,account_size
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,Basic,44,836,10032,monthly,True,False,2024-12-22,535,9.727272727272727,152339,2769.8,38,55,27,4,2.0,23.0,91.0,3.0,0.0,Retained,Medium,Medium MRR,Small
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,Pro,18,882,10584,monthly,True,False,2024-07-08,355,10.142857142857142,101136,2889.6,14,35,23,2,3.0,38.0,73.33333333333333,4.0,0.0,Churned,Low,Medium MRR,Medium
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,Pro,2,98,1176,annual,True,False,2024-12-27,821,9.891566265060241,251210,3026.626506024096,48,83,34,5,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,Retained,High,Low MRR,Small
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,Pro,24,1176,14112,monthly,True,False,2024-12-20,382,9.317073170731707,102528,2500.682926829268,21,41,26,5,2.0,29.0,174.0,,0.0,Retained,Low,Medium MRR,Medium
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,Enterprise,109,21691,260292,monthly,True,True,2024-12-31,579,9.982758620689655,215779,3720.3275862068967,31,58,32,4,7.0,42.285714285714285,107.85714285714286,3.8,1.0,Churned,High,High MRR,Large
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,Enterprise,25,0,0,annual,True,False,2024-10-03,457,9.72340425531915,140541,2990.2340425531916,21,47,28,6,4.0,43.0,74.75,3.0,0.0,Retained,Medium,Low MRR,Small
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,Enterprise,26,5174,62088,monthly,True,False,2024-12-01,373,9.564102564102564,116964,2999.076923076923,14,39,26,3,6.0,39.166666666666664,89.83333333333333,3.8,3.0,Retained,Low,High MRR,Medium
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,Pro,32,1568,18816,annual,True,False,2024-11-10,382,9.317073170731707,111506,2719.6585365853657,23,41,29,5,3.0,42.666666666666664,57.0,,0.0,Retained,Low,Medium MRR,Small
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,Pro,12,0,0,annual,True,False,2024-12-04,472,9.833333333333334,145429,3029.7708333333335,29,48,27,5,4.0,32.5,75.25,3.6666666666666665,0.0,Churned,Medium,Low MRR,Medium
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,Pro,34,1666,19992,monthly,True,False,2024-09-14,257,9.518518518518519,73818,2734.0,14,27,23,2,3.0,31.333333333333332,71.33333333333333,3.5,0.0,Churned,Low,Medium MRR,Medium
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,Pro,18,882,10584,annual,False,False,2024-12-31,1053,10.425742574257425,326283,3230.5247524752476,55,101,38,13,3.0,32.666666666666664,80.66666666666667,5.0,0.0,Churned,High,Medium MRR,Medium
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,Basic,59,1121,13452,monthly,True,False,2024-12-29,562,10.218181818181819,150186,2730.6545454545453,22,55,29,5,2.0,20.5,125.5,5.0,0.0,Retained,Medium,Medium MRR,Large
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,Enterprise,7,0,0,annual,True,False,2024-12-12,670,10.46875,217275,3394.921875,30,64,30,10,3.0,40.333333333333336,68.33333333333333,5.0,1.0,Retained,High,Low MRR,Small
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,Pro,30,1470,17640,annual,True,False,2024-12-10,642,9.304347826086957,159561,2312.478260869565,26,69,34,8,4.0,26.75,95.0,4.0,0.0,Retained,High,Medium MRR,Medium
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,Enterprise,32,6368,76416,annual,True,False,2024-12-30,658,9.4,173232,2474.7428571428572,49,70,32,8,2.0,50.5,118.0,3.0,0.0,Retained,High,High MRR,Small
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,Basic,28,532,6384,annual,True,False,2024-07-03,531,9.833333333333334,170826,3163.4444444444443,42,54,31,7,2.0,24.5,30.5,4.0,0.0,Retained,Medium,Medium MRR,Medium
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,Pro,15,735,8820,annual,True,False,2024-12-31,367,9.91891891891892,106259,2871.864864864865,13,37,25,3,6.0,50.166666666666664,94.83333333333333,4.25,1.0,Retained,Low,Medium MRR,Medium
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,Pro,29,1421,17052,annual,True,False,2024-07-27,494,10.73913043478261,133559,2903.4565217391305,19,46,29,6,6.0,41.666666666666664,79.16666666666667,3.5,0.0,Retained,Medium,Medium MRR,Large
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,Enterprise,18,3582,42984,monthly,True,False,2024-12-17,427,9.930232558139535,137244,3191.720930232558,18,43,28,9,5.0,36.0,59.0,3.6,0.0,Churned,Medium,High MRR,Medium
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,Enterprise,22,4378,52536,annual,False,False,2024-11-27,511,10.428571428571429,157711,3218.591836734694,25,49,31,6,3.0,26.0,108.66666666666667,4.0,1.0,Retained,Medium,High MRR,Small
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,Basic,9,0,0,annual,True,True,2024-12-15,653,9.893939393939394,191849,2906.8030303030305,44,66,34,15,4.0,14.25,97.75,4.666666666666667,1.0,Retained,High,Low MRR,Small
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,Basic,8,152,1824,monthly,True,False,2024-12-29,337,9.628571428571428,98383,2810.942857142857,20,35,24,5,9.0,31.333333333333332,81.88888888888889,4.0,1.0,Retained,Low,Low MRR,Small
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,Enterprise,17,3383,40596,annual,True,False,2024-12-19,687,9.956521739130435,208387,3020.1014492753625,37,69,32,8,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,Churned,High,High MRR,Small
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,Basic,86,1634,19608,annual,True,False,2024-10-03,402,9.571428571428571,127433,3034.1190476190477,22,42,28,10,3.0,57.666666666666664,108.33333333333333,4.0,0.0,Churned,Low,Medium MRR,Large
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,Pro,5,0,0,annual,True,False,2024-11-22,324,10.125,98113,3066.03125,20,32,23,2,0.0,,,,0.0,Retained,Low,Low MRR,Small
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,Enterprise,26,5174,62088,annual,True,False,2024-11-09,488,10.382978723404255,150708,3206.553191489362,19,47,27,2,5.0,34.0,59.6,4.5,0.0,Churned,Medium,High MRR,Large
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,Pro,19,931,11172,annual,True,False,2024-12-02,602,10.379310344827585,171366,2954.5862068965516,31,58,30,7,2.0,33.0,120.5,,0.0,Retained,High,Medium MRR,Small
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,Enterprise,49,9751,117012,monthly,True,False,2024-12-15,791,10.98611111111111,237055,3292.4305555555557,37,72,29,7,4.0,49.75,119.0,5.0,0.0,Churned,High,High MRR,Medium
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,Basic,26,494,5928,monthly,True,False,2024-10-22,538,10.150943396226415,185729,3504.3207547169814,44,53,27,6,4.0,34.0,126.5,4.0,0.0,Retained,Medium,Low MRR,Small
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,Enterprise,20,3980,47760,monthly,True,False,2024-11-03,329,9.969696969696969,105214,3188.3030303030305,12,33,22,5,2.0,61.5,27.0,3.5,0.0,Retained,Low,High MRR,Medium
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,Pro,34,1666,19992,monthly,False,False,2024-12-19,540,9.818181818181818,175427,3189.581818181818,23,55,29,5,5.0,24.8,102.8,4.0,1.0,Retained,Medium,Medium MRR,Small
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,Enterprise,16,3184,38208,monthly,True,False,2024-11-13,424,10.871794871794872,124978,3204.5641025641025,30,39,21,2,5.0,45.4,91.8,3.6666666666666665,0.0,Retained,Medium,High MRR,Medium
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,Enterprise,14,2786,33432,monthly,True,False,2024-12-31,651,10.333333333333334,186929,2967.126984126984,32,63,34,7,3.0,43.0,84.0,3.0,0.0,Churned,High,High MRR,Medium
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,Basic,15,285,3420,monthly,True,False,2024-12-17,693,10.828125,200177,3127.765625,27,64,32,5,6.0,23.666666666666668,90.16666666666667,4.0,0.0,Retained,High,Low MRR,Small
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,Pro,37,1813,21756,monthly,True,False,2024-06-03,385,10.405405405405405,125675,3396.6216216216217,11,37,29,6,1.0,27.0,49.0,4.0,0.0,Retained,Low,Medium MRR,Small
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,Enterprise,13,0,0,annual,True,False,2024-11-26,248,10.333333333333334,81119,3379.9583333333335,13,24,16,3,7.0,40.857142857142854,76.14285714285714,4.6,0.0,Retained,Low,Low MRR,Small
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,Basic,5,95,1140,annual,True,False,2024-09-08,376,9.64102564102564,127515,3269.6153846153848,31,39,27,3,8.0,30.75,82.5,4.25,1.0,Retained,Low,Low MRR,Small
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,Basic,66,0,0,annual,True,False,2024-12-23,733,10.32394366197183,222582,3134.957746478873,53,71,35,4,4.0,64.0,110.0,4.0,0.0,Retained,High,Low MRR,Small
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,Pro,20,980,11760,annual,True,False,2024-12-31,248,10.333333333333334,73517,3063.2083333333335,10,24,17,4,5.0,44.2,100.8,4.8,0.0,Retained,Low,Medium MRR,Medium
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,Pro,41,2009,24108,monthly,True,False,2024-12-30,647,10.435483870967742,195598,3154.8064516129034,33,62,33,4,5.0,27.2,109.4,4.0,0.0,Retained,High,Medium MRR,Small
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,Pro,58,2842,34104,annual,True,False,2024-11-23,706,10.537313432835822,207116,3091.283582089552,46,67,32,9,4.0,20.0,108.5,4.0,0.0,Retained,High,High MRR,Large
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,Pro,63,0,0,monthly,True,True,2024-12-20,493,10.717391304347826,146301,3180.4565217391305,31,46,26,5,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0,Retained,Medium,Low MRR,Small
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,Enterprise,34,6766,81192,monthly,False,False,2024-12-24,734,9.532467532467532,227186,2950.4675324675327,38,77,34,5,1.0,36.0,135.0,3.0,0.0,Churned,High,High MRR,Large
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,Pro,35,1715,20580,monthly,True,False,2024-12-20,666,9.940298507462687,215735,3219.9253731343283,31,67,33,5,2.0,12.0,78.0,4.5,0.0,Retained,High,Medium MRR,Medium
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,Basic,30,570,6840,monthly,True,False,2024-12-02,672,10.181818181818182,210327,3186.7727272727275,36,66,28,4,3.0,42.666666666666664,111.33333333333333,3.5,0.0,Retained,High,Medium MRR,Small
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,Enterprise,34,6766,81192,annual,True,False,2024-12-12,465,9.893617021276595,127997,2723.340425531915,19,47,29,7,3.0,26.333333333333332,82.0,5.0,0.0,Retained,Medium,High MRR,Small
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,Pro,14,686,8232,annual,True,True,2024-10-15,597,10.11864406779661,172764,2928.2033898305085,31,59,27,3,2.0,18.5,141.0,4.5,1.0,Retained,High,Medium MRR,Small
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,Basic,33,627,7524,annual,True,False,2024-12-04,693,9.9,203946,2913.5142857142855,27,70,33,6,5.0,22.4,67.4,4.333333333333333,0.0,Retained,High,Medium MRR,Small
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,Enterprise,54,10746,128952,monthly,False,False,2024-12-30,489,10.1875,131835,2746.5625,21,48,28,3,4.0,42.25,83.0,3.6666666666666665,0.0,Retained,Medium,High MRR,Small
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,Enterprise,32,6368,76416,annual,True,False,2024-12-24,523,10.057692307692308,177958,3422.269230769231,24,52,27,5,5.0,27.4,46.6,4.0,0.0,Retained,Medium,High MRR,Medium
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,Basic,47,893,10716,annual,True,False,2024-12-10,696,9.534246575342467,236693,3242.3698630136987,60,73,34,5,2.0,42.0,38.0,3.0,0.0,Churned,High,Medium MRR,Large
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,Enterprise,13,2587,31044,monthly,True,False,2024-12-31,746,9.688311688311689,204124,2650.961038961039,63,77,33,7,3.0,47.333333333333336,87.66666666666667,5.0,0.0,Retained,High,High MRR,Medium
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,Pro,22,1078,12936,monthly,True,False,2024-10-18,514,9.69811320754717,169854,3204.7924528301887,34,53,32,5,6.0,23.333333333333332,100.5,4.0,0.0,Retained,Medium,Medium MRR,Medium
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,Basic,26,494,5928,monthly,False,False,2024-09-22,375,9.615384615384615,127687,3274.025641025641,30,39,24,4,3.0,50.333333333333336,93.66666666666667,4.0,0.0,Retained,Low,Low MRR,Large
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,Basic,42,798,9576,annual,True,False,2024-09-17,418,10.195121951219512,115325,2812.8048780487807,22,41,26,6,2.0,34.5,61.5,3.5,0.0,Churned,Low,Medium MRR,Medium
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,Pro,36,1764,21168,annual,True,True,2024-12-27,818,10.098765432098766,271358,3350.098765432099,27,81,37,10,3.0,48.333333333333336,43.0,3.5,0.0,Churned,High,Medium MRR,Large
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,Basic,2,0,0,annual,False,False,2024-12-27,399,10.5,110456,2906.7368421052633,12,38,27,3,3.0,42.666666666666664,75.33333333333333,,0.0,Retained,Low,Low MRR,Small
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,Basic,41,779,9348,annual,False,False,2024-12-31,924,10.5,261489,2971.465909090909,59,88,38,13,4.0,35.25,37.25,4.333333333333333,0.0,Retained,High,Medium MRR,Small
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,Pro,47,0,0,monthly,False,False,2024-12-17,477,9.352941176470589,148106,2904.0392156862745,25,51,28,5,2.0,15.0,98.5,4.0,0.0,Retained,Medium,Low MRR,Medium
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,Basic,9,171,2052,annual,True,False,2024-07-18,439,11.256410256410257,120226,3082.7179487179487,17,39,25,3,3.0,37.0,69.66666666666667,4.0,0.0,Churned,Medium,Low MRR,Small
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,Pro,16,784,9408,annual,True,False,2024-12-05,565,9.741379310344827,187525,3233.189655172414,38,58,33,5,6.0,28.5,78.83333333333333,4.5,0.0,Retained,Medium,Medium MRR,Small
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,Basic,41,779,9348,monthly,True,False,2024-10-28,464,9.666666666666666,150051,3126.0625,25,48,29,5,6.0,26.833333333333332,80.5,3.5,0.0,Retained,Medium,Medium MRR,Large
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,Basic,33,627,7524,annual,True,True,2024-12-26,295,10.172413793103448,102452,3532.8275862068967,22,29,18,3,4.0,17.0,65.25,3.75,0.0,Retained,Low,Medium MRR,Large
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,Enterprise,59,11741,140892,monthly,True,True,2024-12-21,729,10.414285714285715,220382,3148.3142857142857,45,70,33,8,5.0,30.2,102.6,5.0,0.0,Retained,High,High MRR,Small
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,Enterprise,70,13930,167160,annual,True,False,2024-12-30,511,10.22,173162,3463.24,35,50,34,5,5.0,39.4,62.6,4.0,0.0,Retained,Medium,High MRR,Large
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,Enterprise,29,5771,69252,monthly,True,True,2024-12-30,599,9.983333333333333,168143,2802.383333333333,33,60,29,5,5.0,24.2,56.8,4.333333333333333,0.0,Retained,High,High MRR,Small
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,Enterprise,43,8557,102684,annual,False,True,2024-11-08,565,10.089285714285714,159213,2843.089285714286,45,56,28,5,5.0,51.4,134.6,3.5,1.0,Retained,Medium,High MRR,Large
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,Basic,19,361,4332,annual,False,False,2024-12-15,528,9.962264150943396,149124,2813.6603773584907,31,53,32,6,2.0,45.0,82.0,4.0,0.0,Retained,Medium,Low MRR,Small
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,Enterprise,36,7164,85968,monthly,True,False,2024-11-18,396,9.428571428571429,123655,2944.1666666666665,26,42,27,7,4.0,29.5,135.5,4.0,0.0,Churned,Low,High MRR,Medium
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,Pro,30,1470,17640,annual,True,False,2024-12-16,692,9.885714285714286,196300,2804.285714285714,25,70,34,6,5.0,35.4,63.0,4.75,0.0,Churned,High,Medium MRR,Medium
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,Pro,20,980,11760,annual,False,False,2024-12-25,393,10.621621621621621,117237,3168.5675675675675,13,37,27,2,2.0,15.5,103.0,4.0,0.0,Retained,Low,Medium MRR,Medium
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,Enterprise,50,9950,119400,monthly,True,False,2024-11-28,597,10.293103448275861,196701,3391.396551724138,22,58,30,3,4.0,33.5,156.5,4.0,0.0,Retained,High,High MRR,Small
